ID,fmc,lai,landcover,n,soil,443,490,560,665,705,740,783,842,865,945,1375,1610,2190
118,29.6803653,1.05526548,forest,2,2_newsoil.txt,0.028101,0.033977,0.054514,0.055977,0.084009,0.16294,0.19375,0.20755,0.21383,0.22793,0.19925,0.21152,0.13404
119,29.6803653,1.05526548,forest,2,2_newsoil.txt,0.025216,0.029828,0.049336,0.04539,0.074257,0.17011,0.20604,0.21906,0.2252,0.23834,0.20221,0.20044,0.11339
120,29.6803653,1.05526548,forest,2,2_newsoil.txt,0.023485,0.027134,0.046301,0.037554,0.067889,0.18047,0.22145,0.23391,0.23999,0.2524,0.20919,0.19503,0.098362
121,29.6803653,0.89257421,forest,2,2_newsoil.txt,0.03236,0.039943,0.062243,0.070452,0.098107,0.15669,0.18097,0.1959,0.2024,0.21784,0.1988,0.22953,0.16287
122,29.6803653,0.89257421,forest,2,2_newsoil.txt,0.029143,0.03542,0.056452,0.059385,0.087539,0.16149,0.19024,0.20435,0.21068,0.22514,0.19942,0.21686,0.14133
123,29.6803653,0.89257421,forest,2,2_newsoil.txt,0.026482,0.031598,0.05169,0.049642,0.078595,0.16779,0.20099,0.21437,0.22056,0.23416,0.20194,0.20686,0.12247
124,29.6803653,0.89257421,forest,2,2_newsoil.txt,0.024846,0.029065,0.048822,0.042336,0.072636,0.17686,0.21442,0.22728,0.2334,0.24633,0.20794,0.20177,0.10857
125,29.6803653,0.74212736,forest,2,2_newsoil.txt,0.033176,0.041068,0.063754,0.07309,0.10083,0.15585,0.17879,0.19394,0.20049,0.21619,0.19913,0.23351,0.1684
126,29.6803653,0.74212736,forest,2,2_newsoil.txt,0.030291,0.037011,0.058572,0.063157,0.091392,0.15999,0.18674,0.20116,0.20755,0.2224,0.19962,0.22241,0.14923
127,29.6803653,0.74212736,forest,2,2_newsoil.txt,0.027888,0.033562,0.054283,0.054374,0.083358,0.16542,0.19594,0.20972,0.21597,0.23006,0.20172,0.21357,0.13238
128,29.6803653,0.74212736,forest,2,2_newsoil.txt,0.026374,0.031233,0.051635,0.047708,0.077905,0.1732,0.20742,0.22073,0.22691,0.24039,0.20677,0.20891,0.11979
129,40.51282051,1.42669978,forest,2,1_newsoil.txt,0.040306,0.049657,0.076772,0.087744,0.1213,0.20188,0.2395,0.25925,0.26795,0.2884,0.25533,0.29141,0.20428
130,40.51282051,1.42669978,forest,2,1_newsoil.txt,0.033451,0.04038,0.063762,0.067158,0.098934,0.20019,0.24574,0.26374,0.27198,0.29048,0.24511,0.25934,0.16297
131,40.51282051,1.42669978,forest,2,1_newsoil.txt,0.027675,0.032464,0.052768,0.049144,0.079764,0.20153,0.25486,0.27132,0.27917,0.2959,0.23874,0.23266,0.12696
132,40.51282051,1.42669978,forest,2,1_newsoil.txt,0.023885,0.027051,0.04548,0.035863,0.066473,0.20844,0.26931,0.28459,0.29218,0.3075,0.23942,0.2159,0.10068
133,40.51282051,1.23237228,forest,2,1_newsoil.txt,0.041298,0.050981,0.078706,0.090587,0.12466,0.20273,0.23877,0.25888,0.26767,0.28854,0.25792,0.29787,0.21074
134,40.51282051,1.23237228,forest,2,1_newsoil.txt,0.034837,0.042238,0.06647,0.071181,0.10366,0.20112,0.24429,0.2628,0.27117,0.29027,0.24854,0.2684,0.17211
135,40.51282051,1.23237228,forest,2,1_newsoil.txt,0.02936,0.034735,0.056066,0.054116,0.085554,0.20221,0.25237,0.26945,0.27746,0.29494,0.24254,0.2437,0.13827
136,40.51282051,1.23237228,forest,2,1_newsoil.txt,0.025691,0.029511,0.049031,0.041362,0.072786,0.20826,0.26515,0.28113,0.28887,0.30504,0.2428,0.22781,0.11322
137,40.51282051,1.05526548,forest,2,1_newsoil.txt,0.042404,0.05246,0.080851,0.093773,0.12837,0.20361,0.23805,0.25853,0.26742,0.28871,0.26058,0.30463,0.2178
138,40.51282051,1.05526548,forest,2,1_newsoil.txt,0.036393,0.044325,0.06949,0.075711,0.1089,0.2021,0.24288,0.26191,0.27041,0.29012,0.25207,0.27791,0.18217
139,40.51282051,1.05526548,forest,2,1_newsoil.txt,0.031266,0.037305,0.059774,0.059755,0.092038,0.20296,0.24993,0.26767,0.27584,0.29409,0.24653,0.25538,0.15079
140,40.51282051,1.05526548,forest,2,1_newsoil.txt,0.027766,0.032336,0.053082,0.047676,0.079949,0.20818,0.26111,0.27782,0.28574,0.30279,0.24645,0.24055,0.12726
141,40.51282051,0.89257421,forest,2,1_newsoil.txt,0.043628,0.054098,0.083213,0.097314,0.13244,0.20451,0.23735,0.2582,0.26719,0.28892,0.26329,0.31165,0.22549
142,40.51282051,0.89257421,forest,2,1_newsoil.txt,0.038123,0.046649,0.072832,0.080769,0.11469,0.20311,0.24149,0.26107,0.26971,0.29004,0.2557,0.28783,0.19314
143,40.51282051,0.89257421,forest,2,1_newsoil.txt,0.033401,0.040186,0.063905,0.066089,0.099229,0.20377,0.24757,0.26599,0.27433,0.29336,0.25067,0.26763,0.16454
144,40.51282051,0.89257421,forest,2,1_newsoil.txt,0.03012,0.03554,0.057652,0.054842,0.087985,0.2082,0.25719,0.27467,0.28278,0.30073,0.25035,0.25407,0.14282
145,40.51282051,0.74212736,forest,2,1_newsoil.txt,0.044975,0.055902,0.085797,0.10122,0.13687,0.20543,0.23667,0.2579,0.267,0.28915,0.26605,0.3189,0.23378
146,40.51282051,0.74212736,forest,2,1_newsoil.txt,0.040035,0.049218,0.076504,0.086373,0.12102,0.20417,0.24016,0.26029,0.26908,0.29003,0.25943,0.29811,0.20503
